bit,silhouette_true,silhouette_kmeans,kmeans_inertia,evr_sum2
0,-0.00011768421973101795,0.3073520362377167,4165.3388671875,0.012790283188223839
1,0.00046243410906754434,0.3079947233200073,4167.140625,0.012809854000806808
2,0.00015285257541108876,0.30933067202568054,4142.513671875,0.01277531310915947
3,0.0002832807367667556,0.3038889169692993,4185.5439453125,0.01282176747918129
4,-2.508028774172999e-05,0.3106154203414917,4097.4736328125,0.01263719517737627
5,8.431302558165044e-05,0.3085838556289673,4197.83935546875,0.01289946399629116
6,0.00016450278053525835,0.30636945366859436,4176.97607421875,0.012851739302277565
7,0.0003361999406479299,0.3076550364494324,4148.2451171875,0.012762201949954033
8,-5.827191489515826e-05,0.3067482113838196,4186.48486328125,0.01284704264253378
9,0.0001055309985531494,0.30647021532058716,4146.08642578125,0.012733258306980133
10,6.204838427947834e-05,0.30693724751472473,4192.66015625,0.012906655669212341
11,0.00010913980077020824,0.306151419878006,4164.19140625,0.012764543294906616
12,0.00010314876999473199,0.30671292543411255,4163.498046875,0.012805536389350891
13,0.00011357707990100607,0.3083132803440094,4146.45068359375,0.01277528703212738
14,0.007401355542242527,0.3142758905887604,4357.22021484375,0.013585798442363739
15,0.001254783826880157,0.3067692816257477,4207.1220703125,0.01292291097342968
16,-7.192729390226305e-05,0.3060044050216675,4189.314453125,0.01284543052315712
17,0.021624090149998665,0.31169164180755615,4677.01708984375,0.014570960775017738
18,0.0005836902419105172,0.3101860284805298,4188.3896484375,0.012907379306852818
19,0.003940195310860872,0.3092222213745117,4285.1279296875,0.013223331421613693
20,0.002950574504211545,0.3072798252105713,4226.7109375,0.012976362369954586
21,0.000712081789970398,0.3121148943901062,4191.91943359375,0.012964295223355293
22,0.0005610025837086141,0.30639874935150146,4146.748046875,0.012749796733260155
23,0.0020917674992233515,0.30683204531669617,4229.8779296875,0.012996615841984749
24,0.0009842176223173738,0.31116628646850586,4149.564453125,0.012819349765777588
25,0.0004868318501394242,0.3060683608055115,4126.11865234375,0.012656467966735363
26,0.003466468071565032,0.30666083097457886,4282.5205078125,0.013211040757596493
27,0.004957729950547218,0.3076467216014862,4293.8125,0.013273730874061584
28,0.0011830448638647795,0.3093142509460449,4208.71337890625,0.013001441955566406
29,0.0009637883049435914,0.30739349126815796,4155.65087890625,0.012766741216182709
30,0.0009236332844011486,0.3059389293193817,4233.05859375,0.013008663430809975
31,0.00047519282088615,0.3073539435863495,4184.77783203125,0.01287676952779293
32,-1.5849886040086858e-05,0.3061258792877197,4151.87353515625,0.01276041567325592
