bit_pos,input_diff_hex,biased_pcs,max_diff,silhouette_clusters,silhouette_true,elapsed_sec
0,0x0000000000000001,192,-0.001908,0.213317,0.000063,95.370
1,0x0000000000000002,192,-0.001886,0.213841,0.000315,89.008
2,0x0000000000000004,192,-0.001916,0.211544,0.000061,164.046
3,0x0000000000000008,192,-0.001940,0.214714,0.000007,83.776
4,0x0000000000000010,192,-0.001945,0.210521,0.000248,93.379
5,0x0000000000000020,192,-0.001905,0.214647,0.000083,93.919
6,0x0000000000000040,192,-0.001901,0.214575,0.000398,91.507
7,0x0000000000000080,192,-0.001906,0.210059,0.000030,92.923
8,0x0000000000000100,192,-0.001903,0.214533,0.000113,101.819
9,0x0000000000000200,192,-0.001904,0.211918,0.000205,103.696
10,0x0000000000000400,192,-0.001923,0.213143,0.000051,98.009
11,0x0000000000000800,192,-0.001973,0.211247,0.000055,95.531
12,0x0000000000001000,192,-0.001953,0.212772,0.000002,93.226
13,0x0000000000002000,192,-0.001958,0.214271,0.000004,92.710
14,0x0000000000004000,192,-0.001943,0.211546,0.000032,111.786
15,0x0000000000008000,192,-0.001955,0.211671,0.000022,97.366
16,0x0000000000010000,192,-0.001935,0.213749,0.000120,91.051
17,0x0000000000020000,192,-0.001918,0.212316,-0.000015,91.406
