bit_pos,input_diff_hex,biased_pcs,max_diff,silhouette_clusters,silhouette_true,elapsed_sec
38,0x0000004000000000,181,0.000559,0.217551,0.037259,1.482
42,0x0000040000000000,182,0.000782,0.218854,0.032011,1.429
26,0x0000000004000000,181,0.000428,0.219261,0.031345,1.547
41,0x0000020000000000,182,0.000864,0.217146,0.031171,1.702
5,0x0000000000000020,182,0.000782,0.222558,0.030177,1.343
37,0x0000002000000000,182,0.000601,0.221179,0.030061,2.012
6,0x0000000000000040,182,0.000676,0.219305,0.029819,1.498
33,0x0000000200000000,181,0.000433,0.219221,0.028525,1.492
21,0x0000000000200000,181,0.000627,0.219985,0.028277,1.295
34,0x0000000400000000,180,0.000521,0.223936,0.027699,1.936
18,0x0000000000040000,182,0.000335,0.221588,0.026031,1.520
25,0x0000000002000000,181,0.000566,0.218298,0.025511,1.420
10,0x0000000000000400,182,0.000920,0.221300,0.025223,1.659
9,0x0000000000000200,182,0.000526,0.216953,0.025121,1.502
22,0x0000000000400000,180,0.000590,0.217786,0.023449,1.433
17,0x0000000000020000,181,0.000349,0.222546,0.022452,1.383
20,0x0000000000100000,182,0.000427,0.223887,0.022200,2.017
36,0x0000001000000000,181,0.000096,0.217539,0.022155,1.772
4,0x0000000000000010,181,0.000672,0.217346,0.021421,1.481
1,0x0000000000000002,180,0.000302,0.220858,0.020259,1.459
8,0x0000000000000100,182,0.000617,0.216118,0.020176,1.346
2,0x0000000000000004,181,0.000236,0.217125,0.019772,1.402
24,0x0000000001000000,182,0.000047,0.217565,0.018408,1.509
0,0x0000000000000001,180,-0.000007,0.221646,0.014973,1.548
40,0x0000010000000000,181,0.000129,0.222944,0.013571,1.412
58,0x0400000000000000,183,0.000269,0.219750,0.011668,1.805
16,0x0000000000010000,182,-0.000002,0.220101,0.011410,1.503
57,0x0200000000000000,182,0.000299,0.216711,0.011061,1.543
23,0x0000000000800000,182,0.000020,0.219598,0.011053,1.479
54,0x0040000000000000,183,0.000551,0.218955,0.009651,1.692
53,0x0020000000000000,183,0.000042,0.220512,0.009642,1.755
19,0x0000000000080000,182,-0.000068,0.221211,0.009592,1.523
32,0x0000000100000000,182,-0.000136,0.221880,0.007259,1.348
49,0x0002000000000000,183,-0.000146,0.220945,0.006859,1.828
35,0x0000000800000000,182,-0.000142,0.221611,0.006427,1.866
39,0x0000008000000000,184,-0.000233,0.214334,0.006233,1.403
43,0x0000080000000000,183,-0.000244,0.218373,0.006043,1.523
3,0x0000000000000008,184,-0.000267,0.211408,0.004745,1.420
50,0x0004000000000000,183,-0.000025,0.225312,0.004651,1.755
52,0x0010000000000000,184,-0.000150,0.215834,0.004070,1.724
11,0x0000000000000800,183,-0.000328,0.220065,0.003740,1.620
44,0x0000100000000000,183,-0.000242,0.221532,0.003640,1.469
45,0x0000200000000000,183,-0.000138,0.221677,0.003323,1.382
27,0x0000000008000000,183,-0.000227,0.218927,0.003295,1.623
30,0x0000000040000000,184,-0.000288,0.223011,0.003010,1.541
7,0x0000000000000080,182,-0.000174,0.220538,0.002976,1.420
48,0x0001000000000000,183,-0.000188,0.220865,0.002898,1.671
46,0x0000400000000000,183,-0.000203,0.221524,0.002799,1.376
13,0x0000000000002000,183,-0.000300,0.219972,0.002352,1.510
14,0x0000000000004000,182,-0.000208,0.221421,0.002288,1.567
29,0x0000000020000000,182,-0.000230,0.216646,0.001932,1.349
56,0x0100000000000000,184,-0.000125,0.227161,0.001377,1.538
60,0x1000000000000000,184,-0.000370,0.218597,0.001190,1.780
28,0x0000000010000000,182,-0.000384,0.220835,0.001104,1.404
51,0x0008000000000000,185,-0.000405,0.217463,0.001101,1.699
55,0x0080000000000000,183,-0.000259,0.219728,0.001008,1.720
59,0x0800000000000000,185,-0.000473,0.218036,0.000867,1.704
15,0x0000000000008000,182,-0.000400,0.217531,0.000782,1.366
12,0x0000000000001000,183,-0.000260,0.218022,0.000446,1.442
61,0x2000000000000000,183,-0.000401,0.217519,0.000306,1.530
47,0x0000800000000000,184,-0.000438,0.220724,0.000292,1.469
31,0x0000000080000000,185,-0.000443,0.213638,0.000171,1.461
63,0x8000000000000000,185,-0.000350,0.221334,0.000095,1.494
62,0x4000000000000000,184,-0.000449,0.218835,0.000030,1.739
