bit_pos,input_diff_hex,biased_pcs,max_diff,silhouette_clusters,silhouette_true,elapsed_sec
6,0x0000000000000040,160,0.106752,0.267118,0.723748,1.254
9,0x0000000000000200,160,0.106879,0.272760,0.723446,1.144
15,0x0000000000008000,160,0.106493,0.271887,0.723954,1.344
29,0x0000000020000000,160,0.106468,0.270389,0.723666,1.860
34,0x0000000400000000,160,0.106442,0.267967,0.723491,1.325
39,0x0000008000000000,160,0.107525,0.274878,0.725461,1.197
45,0x0000200000000000,160,0.107353,0.270022,0.722732,1.249
61,0x2000000000000000,160,0.106783,0.273950,0.723452,1.326
63,0x8000000000000000,160,0.106606,0.270818,0.725787,1.465
19,0x0000000000080000,159,0.106341,0.273104,0.724324,1.077
20,0x0000000000100000,159,0.106835,0.265228,0.726582,1.170
28,0x0000000010000000,159,0.107119,0.272951,0.724816,1.145
33,0x0000000200000000,159,0.107906,0.274058,0.724434,1.423
42,0x0000040000000000,159,0.106463,0.270258,0.724674,1.263
43,0x0000080000000000,159,0.106879,0.272382,0.723725,1.156
48,0x0001000000000000,159,0.107196,0.270414,0.725907,1.396
52,0x0010000000000000,159,0.106667,0.270922,0.723747,1.298
59,0x0800000000000000,159,0.106479,0.274969,0.722213,1.304
60,0x1000000000000000,159,0.107225,0.272469,0.725270,1.634
2,0x0000000000000004,158,0.106818,0.273595,0.722835,1.150
7,0x0000000000000080,158,0.107545,0.268775,0.722956,1.436
8,0x0000000000000100,158,0.106887,0.272819,0.724914,1.178
16,0x0000000000010000,158,0.107169,0.265485,0.723617,1.365
18,0x0000000000040000,158,0.106626,0.268640,0.722744,1.150
22,0x0000000000400000,158,0.106344,0.274464,0.723189,1.117
25,0x0000000002000000,158,0.106716,0.272464,0.725097,1.157
26,0x0000000004000000,158,0.106674,0.273108,0.723379,1.226
38,0x0000004000000000,158,0.107800,0.272880,0.724681,1.355
41,0x0000020000000000,158,0.106499,0.278507,0.722883,1.237
44,0x0000100000000000,158,0.107688,0.272162,0.722534,1.182
47,0x0000800000000000,158,0.106434,0.266342,0.724587,1.462
53,0x0020000000000000,158,0.107327,0.275645,0.723584,1.358
55,0x0080000000000000,158,0.107093,0.274039,0.724545,1.507
57,0x0200000000000000,158,0.107483,0.269387,0.725032,1.525
58,0x0400000000000000,158,0.106577,0.268894,0.724263,1.455
0,0x0000000000000001,157,0.107345,0.270881,0.725046,8.172
1,0x0000000000000002,157,0.106513,0.275672,0.723259,1.277
3,0x0000000000000008,157,0.107121,0.277615,0.725550,1.301
4,0x0000000000000010,157,0.106374,0.271569,0.722162,1.430
5,0x0000000000000020,157,0.106367,0.268942,0.722480,1.341
10,0x0000000000000400,157,0.107213,0.273087,0.722663,1.102
11,0x0000000000000800,157,0.107133,0.266982,0.723861,1.259
13,0x0000000000002000,157,0.106800,0.272899,0.724690,1.338
14,0x0000000000004000,157,0.107247,0.273180,0.726150,1.215
17,0x0000000000020000,157,0.106907,0.274450,0.724836,1.264
21,0x0000000000200000,157,0.106801,0.267290,0.724481,1.316
23,0x0000000000800000,157,0.106748,0.268960,0.723189,1.303
24,0x0000000001000000,157,0.106687,0.268569,0.721815,1.135
27,0x0000000008000000,157,0.107039,0.273064,0.725520,1.148
30,0x0000000040000000,157,0.106698,0.276408,0.722828,1.576
31,0x0000000080000000,157,0.108103,0.272520,0.725790,1.410
32,0x0000000100000000,157,0.106150,0.274600,0.725379,1.567
35,0x0000000800000000,157,0.106677,0.266309,0.721570,1.518
36,0x0000001000000000,157,0.106877,0.273856,0.723847,1.483
37,0x0000002000000000,157,0.106849,0.271763,0.722560,1.409
40,0x0000010000000000,157,0.107165,0.268469,0.725437,1.246
46,0x0000400000000000,157,0.106748,0.267884,0.722436,1.348
49,0x0002000000000000,157,0.107128,0.270911,0.724786,1.159
50,0x0004000000000000,157,0.106662,0.267630,0.722454,1.188
51,0x0008000000000000,157,0.107396,0.276088,0.723864,1.229
54,0x0040000000000000,157,0.106838,0.271386,0.723380,1.247
56,0x0100000000000000,157,0.106601,0.272296,0.720284,1.409
62,0x4000000000000000,157,0.107244,0.271517,0.725911,1.323
12,0x0000000000001000,155,0.106948,0.269233,0.725378,1.368
