bit_pos,input_diff_hex,biased_pcs,max_diff,silhouette_clusters,silhouette_true,elapsed_sec
0,0x0000000000000001,142,0.083871,0.285887,0.683823,15.383
1,0x0000000000000002,145,0.082721,0.278027,0.684274,15.842
2,0x0000000000000004,144,0.082727,0.276186,0.684640,16.595
3,0x0000000000000008,142,0.083105,0.265402,0.704026,14.705
4,0x0000000000000010,145,0.082722,0.264623,0.692260,14.259
5,0x0000000000000020,144,0.082830,0.264486,0.697454,15.928
6,0x0000000000000040,144,0.082877,0.261893,0.697459,15.970
7,0x0000000000000080,144,0.081037,0.261067,0.699691,15.940
8,0x0000000000000100,144,0.082419,0.263562,0.691420,18.043
9,0x0000000000000200,145,0.082690,0.262415,0.698565,15.081
10,0x0000000000000400,144,0.082702,0.265149,0.698350,15.889
11,0x0000000000000800,145,0.081219,0.260061,0.700583,17.015
12,0x0000000000001000,145,0.082846,0.270688,0.661845,15.743
13,0x0000000000002000,144,0.080992,0.294317,0.656917,14.870
14,0x0000000000004000,144,0.080891,0.310723,0.656878,15.420
15,0x0000000000008000,143,0.083048,0.267427,0.691511,16.734
16,0x0000000000010000,142,0.083647,0.274538,0.683671,22.166
