,Difference,Weighted score
0,"({'0x5115b8cf37a90706'}, {'0x35bfda650c8e3e2d44a6'})",{2.9403}
1,"({'0x5135e6093008bbbf'}, {'0x307e6eabf55818deddf7'})",{2.9616}
2,"({'0x9854590f453d81e2'}, {'0x5038e15d2b928ae89c8e'})",{2.9631}
3,"({'0xd05412248593508a'}, {'0x8388495632288464a39'})",{2.9847}
4,"({'0x70540302c513019c'}, {'0x8b0454009018800013e'})",{3.0103}
5,"({'0x51c7ce03afa33172'}, {'0xbf11755c910b5de794c8'})",{3.0363}
6,"({'0x51c59ce468f2b0dd'}, {'0xb52ac7be16ddef00bdfb'})",{3.0531}
7,"({'0x514d9e10e29f34a6'}, {'0xde1e41ba992909cf27e0'})",{3.0563}
8,"({'0x46dab4596a2aea22'}, {'0x725c0465dfc076d79f6'})",{3.0603}
9,"({'0x3c10532b41b9d076'}, {'0xdc0885951b8501aa5226'})",{3.0616}
10,"({'0xc41c1a93520b11bd'}, {'0x58b865052942ab2078e9'})",{3.0625}
11,"({'0x684c0214c4161010'}, {'0xca0a5410321080410c2'})",{3.0694}
12,"({'0x7c0498c84103c823'}, {'0xdc88a491715682a81c4d'})",{3.0709}
13,"({'0x5a0450110590800c'}, {'0xa418a8005a21084643c1'})",{3.0747}
14,"({'0x7458499b80ec85f7'}, {'0x1098bc14616300e83ac9'})",{3.0762}
15,"({'0x4ab6c6ababf176d1'}, {'0x7eae0b2b0456800237fe'})",{3.0872}
16,"({'0x4ccf612604e6a0f3'}, {'0x8ce0a805332ddeeb4112'})",{3.0888}
17,"({'0x43632842775e952b'}, {'0x7297a1474f16b5d34de'})",{3.0962}
18,"({'0x4eeb4d2ef68ba8af'}, {'0x46dc81e4ca5855b77897'})",{3.1103}
19,"({'0x1044501440021014'}, {'0x9808a04002b000220f22'})",{3.1147}
20,"({'0x2c44d0b1c52b08b7'}, {'0xc3828401b8408607b6e'})",{3.1213}
21,"({'0x49dc031872535cd9'}, {'0x116285cf44c54bc5b27b'})",{3.1244}
22,"({'0x3404101784121096'}, {'0x80064401ba500424ad5'})",{3.125}
23,"({'0x88445027c0135004'}, {'0x98304c8510b088000c94'})",{3.1253}
24,"({'0x4f5eef088f917e79'}, {'0x5a24266033f74f3155a5'})",{3.1278}
25,"({'0x7c00800305304890'}, {'0x1844c552a100420916'})",{3.1278}
26,"({'0x487efaa898fbc4ae'}, {'0x952843b1307365f09880'})",{3.1291}
27,"({'0x6c54023301804096'}, {'0x400c4d569820864104c'})",{3.13}
28,"({'0x60400bc9d56e0190'}, {'0x1230a414298389ae2557'})",{3.1475}
29,"({'0xf8145837004300b0'}, {'0x400bcd16012886002c1'})",{3.1491}
30,"({'0x684c52e90004404f'}, {'0xd498cdd5225302641ee0'})",{3.1516}
31,"({'0x804451a7819b5108'}, {'0x18b0a585125100660f1e'})",{3.1566}
32,"({'0xc810dbd6c7a148d1'}, {'0x94906d905aa4290050a1'})",{3.16}
33,"({'0x8a0418000590808c'}, {'0xb41844041a310840029d'})",{3.1609}
34,"({'0x740cc92b941889c0'}, {'0xa02c045a0408cc0393'})",{3.1612}
35,"({'0xffcc97d7edb0bd32'}, {'0xe5ab8465d747f534cde0'})",{3.1616}
36,"({'0x5444710540021116'}, {'0x8b0c140530088425c5b'})",{3.1641}
37,"({'0x2840401785921038'}, {'0x1c18a840433400244cf8'})",{3.1681}
38,"({'0xb804c031c5aa0892'}, {'0x1818c040521088664de3'})",{3.1684}
39,"({'0xcc40400145828090'}, {'0x1c28a84018b108464649'})",{3.1766}
40,"({'0x434d1d6df0f032a0'}, {'0x1c95f9a4e4c9d23702d8'})",{3.1778}
41,"({'0x1044501440021014'}, {'0x9808e04002b000620f22'})",{3.1797}
42,"({'0x4b3c9558015005a1'}, {'0xcbc4aedce5fe89541074'})",{3.1809}
43,"({'0x4d1012e191266b59'}, {'0x1890aab789b29db49d69'})",{3.1834}
44,"({'0x42960667b0431103'}, {'0xa5d30d079e16a515c8a4'})",{3.1847}
45,"({'0x4af24421d23bfb59'}, {'0x2fd46be83a2fd3321993'})",{3.1853}
46,"({'0xfc14caabd0d398c1'}, {'0x48a824157a230aacaa26'})",{3.1887}
47,"({'0x6c04402105804116'}, {'0x430c4c5490108640212'})",{3.1953}
48,"({'0x1440401185210012'}, {'0x8428a0c5120088621fa8'})",{3.1963}
49,"({'0x44982562324238d6'}, {'0xf4f77ee292935483d8e'})",{3.1991}
50,"({'0x7800086e01b2d0ac'}, {'0xcca8249129e68aec2bdb'})",{3.2009}
51,"({'0xd01c12a0c11250ab'}, {'0xc8988d854b2480266a19'})",{3.2019}
52,"({'0xec404813c4218086'}, {'0x40b0a4054100008a137c'})",{3.2022}
53,"({'0x505c99a7013d888a'}, {'0x230291041e00a245f39'})",{3.2047}
54,"({'0x4b6c82b6089c8e7a'}, {'0xa890a15e88ccedc98319'})",{3.2047}
55,"({'0xc44001045838018'}, {'0x8ca8ac40500008460190'})",{3.2078}
56,"({'0x384091164431599a'}, {'0xa865c54041880042fd'})",{3.2097}
57,"({'0xfeed68f1db555f97'}, {'0xbc4ffbeae79396baba74'})",{3.21}
