,Difference,Weighted score
0,{'0x9240ca262a8a32ad'},{2.9531}
1,{'0x3e6c967c40b969c7'},{2.9709}
2,{'0x4313ab4aec5a3f7c'},{2.9969}
3,{'0x6e1c3857954a1dad'},{3.0075}
4,{'0x41a14d513535a3fa'},{3.0131}
5,{'0x24483490cbaa29ab'},{3.0144}
6,{'0x3a7814ae9cdd3aae'},{3.0153}
7,{'0x9b45b02ee20224e6'},{3.0175}
8,{'0x1e43c46ff32a3d99'},{3.0206}
9,{'0x372cd2cf9acb3763'},{3.0278}
10,{'0x1e4bc46ff32a1d99'},{3.0388}
11,{'0xde73b0e839401442'},{3.0519}
12,{'0x3ee61aaa8de945c2'},{3.0619}
13,{'0x36579ec4d1795b54'},{3.0638}
14,{'0x42def7892c742623'},{3.09}
15,{'0xbf3e04d7a3ca35bc'},{3.0959}
16,{'0x26781a2b81937a35'},{3.0984}
17,{'0xd715443641c00135'},{3.0997}
18,{'0x6227742db6ea21be'},{3.1022}
19,{'0x793f065c24410a4c'},{3.1044}
20,{'0x1b5ff0eeb2280c23'},{3.1134}
21,{'0x8f1ff49a2ea22425'},{3.1138}
22,{'0x17fe01479ea0714'},{3.1222}
23,{'0xe43796b469a03219'},{3.1228}
24,{'0x1b7694da6082255f'},{3.1244}
25,{'0xffa8e8aba6b41c8c'},{3.1244}
26,{'0x4356ff65b7091af1'},{3.1272}
27,{'0x6b220e257e62b775'},{3.1275}
28,{'0x41a40e612e206cd2'},{3.1341}
29,{'0x3cfba285238725bb'},{3.1422}
30,{'0x3a85284e8af9cb7a'},{3.1444}
31,{'0x9b6872ca1be02646'},{3.1481}
32,{'0x9f6872ca9be02646'},{3.1541}
33,{'0x3b64c8bcf83ebdff'},{3.1572}
34,{'0x749ccb38d9582660'},{3.1575}
35,{'0x28160423dd28b694'},{3.1597}
36,{'0x39dae2b2a8fee853'},{3.1622}
37,{'0x3833de4476b967ac'},{3.1641}
38,{'0xf647d4ff352230fd'},{3.1675}
39,{'0x4e27f46a05823453'},{3.1741}
40,{'0xc740f0de49c805c6'},{3.1741}
41,{'0xdd17f46afc801445'},{3.1788}
42,{'0x3b761e1bd0874bb3'},{3.1794}
43,{'0xca961844f46b7326'},{3.1803}
44,{'0x881a44b28ba021f2'},{3.1834}
45,{'0xce63b0e83d421442'},{3.1838}
46,{'0xb925f05e3aa20955'},{3.1881}
47,{'0xb3293e18d01a196e'},{3.1891}
48,{'0x867e04322d621d0a'},{3.1953}
49,{'0x3bd10877f46cf3c5'},{3.1978}
50,{'0x4325e1dc360aa2ea'},{3.1981}
51,{'0x891bb46c8ae82436'},{3.21}
52,{'0x88554cb8fd4a1e12'},{3.2131}
53,{'0x3ea092165d7cad10'},{3.2141}
54,{'0x42adc930ad779e38'},{3.2147}
55,{'0x437d04f6c2820448'},{3.2159}
56,{'0x3f5035fe034c9838'},{3.2178}
57,{'0x1310fc961f483af6'},{3.2209}
58,{'0xd8272200fec20ab6'},{3.2213}
59,{'0x395fd94a13d0b959'},{3.2275}
60,{'0x3e13264ad9cdb416'},{3.2275}
61,{'0x666b2067516a354c'},{3.2278}
62,{'0x3e55aef60b585cc6'},{3.2322}
63,{'0x413500143b483441'},{3.2325}
64,{'0xf27647461200189'},{3.2331}
65,{'0xc52c40868b681861'},{3.2378}
66,{'0xc10404465240013e'},{3.2384}
67,{'0xc3524426cb801970'},{3.2409}
68,{'0x6910a2b3519b6b29'},{3.2438}
69,{'0xa1b416618a09cc53'},{3.245}
70,{'0xe49c053542b13c9'},{3.2481}
71,{'0x891bb62c8ae82436'},{3.2491}
72,{'0x6f74e233d65b57d1'},{3.2538}
73,{'0xb06692fc8bf369be'},{3.2541}
74,{'0xe644080a6c03cf8'},{3.2594}
75,{'0xbe7d2022642a088d'},{3.2597}
76,{'0xa8b16c6b42815298'},{3.2628}
77,{'0x9e7996dc090a0c3e'},{3.2662}
78,{'0xff6794d821f2f05a'},{3.2675}
79,{'0x8f67401497c011de'},{3.2697}
80,{'0x3b83a2fbc6a3ba67'},{3.2744}
81,{'0x5a26d06e4fa8043b'},{3.2881}
82,{'0xd97104b6e7003dcd'},{3.2891}
83,{'0x4072d4eec80209e5'},{3.2931}
84,{'0x8b7204720f4011f4'},{3.2941}
85,{'0xf75e496342a1680'},{3.2944}
86,{'0x1a0874ce1968224b'},{3.2959}
87,{'0x422002c1b6fae6ae'},{3.2972}
88,{'0x4935a0d464002a4e'},{3.2997}
89,{'0xd23904a254601156'},{3.3003}
90,{'0x465eb4dcf7c80488'},{3.3028}
91,{'0x772bb24193ca1df3'},{3.3047}
92,{'0x409dee9376c05205'},{3.31}
93,{'0xe64a4626f4420830'},{3.3166}
94,{'0x51237cf707220c85'},{3.3194}
95,{'0xb01960a3c2ea3475'},{3.3225}
96,{'0xf647d47f352230dd'},{3.3278}
97,{'0x9d0890e84de03855'},{3.3284}
98,{'0x527fc6ac9b010907'},{3.3316}
99,{'0x4051328178049d06'},{3.3459}
100,{'0xd303203075020d6e'},{3.3484}
101,{'0xd21904c244401051'},{3.3534}
102,{'0xe644084a6c03cf8'},{3.3625}
103,{'0x3e1d2eb15723f888'},{3.3769}
104,{'0x985bfca8a0682d50'},{3.3772}
105,{'0x3a5160ece8af586f'},{3.3778}
106,{'0x8244448238c02011'},{3.3822}
107,{'0x5c39841005a00bcf'},{3.3869}
108,{'0xd34006443400128'},{3.3919}
109,{'0xdd48845050a0278d'},{3.4109}
110,{'0xc03600a40a401967'},{3.4225}
111,{'0x827a00b088820576'},{3.4322}
112,{'0xd67040c493800139'},{3.4581}
113,{'0x408a8dd330cc0835'},{3.4622}
114,{'0x5c8acf1b047080f4'},{3.465}
115,{'0x10a784ef55ea0161'},{3.4688}
116,{'0x3644482c1c00007'},{3.4809}
117,{'0x520800f0d2223060'},{3.4913}
118,{'0x40013599950e3dd8'},{3.4928}
119,{'0xc13004301c00012d'},{3.4934}
120,{'0x21100b40300912e'},{3.4962}
121,{'0x3ee812110107095c'},{3.5113}
122,{'0x41792080fd800818'},{3.5138}
123,{'0xd32100c011000c0f'},{3.5806}
124,{'0x521000804400204d'},{3.5828}
125,{'0xd95724b0f2a000b0'},{3.5841}
126,{'0x13100407f000c0c'},{3.6306}
127,{'0xf3000a401001046'},{3.6619}
128,{'0x131008077000806'},{3.6638}
129,{'0x3400764e400003'},{3.6722}
130,{'0xd21000406900000e'},{3.6981}
131,{'0x3400b6c3400004'},{3.7456}
132,{'0x810300b031002d26'},{3.7562}
133,{'0x20004078000123'},{3.8016}
134,{'0x11009449000007'},{3.8169}
135,{'0x3000f04100012d'},{3.8541}
136,{'0x9330000079022012'},{3.8553}
137,{'0x60004077000120'},{3.8697}
138,{'0xd04009402400005'},{3.8756}
139,{'0x2100a038000008'},{3.8897}
140,{'0xcd0000c40f000005'},{3.8975}
141,{'0xc11000706400000e'},{3.9009}
142,{'0xd0100740a000002'},{3.9156}
143,{'0x3000f441000001'},{3.9444}
144,{'0x100e04000012b'},{3.9562}
145,{'0xd04005407000006'},{3.9816}
146,{'0xcd0000040700000b'},{4.0297}
147,{'0xd0000944a000001'},{4.0622}
148,{'0xc04100700d000009'},{4.1056}
149,{'0xdb000600b000108'},{4.1206}
150,{'0xd0000904a000005'},{4.2444}
151,{'0xc00800040e'},{4.4578}
152,{'0x110000300d000000'},{4.4862}
153,{'0x1080f009000000'},{4.495}
154,{'0x5000449'},{4.8078}
155,{'0xc00d000007'},{4.9897}
156,{'0x40000012c'},{5.0584}
157,{'0xc00000000e'},{5.4278}
158,{'0x9000000002'},{5.4994}
159,{'0x80000000000000'},{5.5147}
160,{'0x80000000'},{5.5269}
161,{'0xf000003'},{5.6544}
162,{'0x100000000000'},{5.7613}
163,{'0x800000000000000'},{5.795}
164,{'0x60000000'},{5.8169}
165,{'0x10000000'},{5.8875}
166,{'0x100000000000000'},{5.8906}
167,{'0x600000000000'},{5.9241}
168,{'0x8'},{6.0544}
169,{'0x400000000000'},{6.0709}
170,{'0xc00000000000000'},{6.1491}
171,{'0x8000000'},{6.2016}
172,{'0x500000000000000'},{6.2138}
173,{'0x500000000000'},{6.3166}
174,{'0x1'},{6.3325}
175,{'0x300000000000'},{6.3613}
176,{'0xe00000000000000'},{6.4141}
177,{'0x2'},{6.4269}
178,{'0xa'},{6.435}
179,{'0x300000000000000'},{6.4409}
180,{'0x1000000'},{6.4672}
181,{'0x4000000'},{6.4788}
182,{'0x1000000000'},{6.4872}
183,{'0x6000000'},{6.5494}
184,{'0x4000000000'},{6.5578}
185,{'0x6000000000'},{6.5634}
186,{'0x2000000'},{6.5838}
187,{'0x700000000000000'},{6.5897}
188,{'0xc'},{6.5966}
189,{'0xe'},{6.6088}
190,{'0x90000000'},{6.6203}
191,{'0x900000000000000'},{6.6381}
192,{'0xb0000000'},{6.6428}
193,{'0xf'},{6.6594}
194,{'0x2000000000'},{6.6644}
195,{'0x5'},{6.6784}
196,{'0x7'},{6.7119}
197,{'0xb00000000000000'},{6.7456}
198,{'0x3'},{6.7947}
199,{'0xd00000000000000'},{6.8138}
200,{'0x5000000000'},{6.8175}
201,{'0xa000000000'},{6.8894}
202,{'0x3000000'},{6.9244}
203,{'0xb'},{6.9256}
204,{'0xa000000'},{6.9322}
205,{'0xe000000000'},{6.9669}
206,{'0x3000000000'},{6.9894}
207,{'0xf000000000'},{7.0106}
208,{'0xc000000000'},{7.0531}
209,{'0xe000000'},{7.0562}
210,{'0xc000000'},{7.0684}
211,{'0xb000000'},{7.1031}
212,{'0xf000000'},{7.1097}
213,{'0x5000000'},{7.1481}
214,{'0xd'},{7.2022}
215,{'0x9000000'},{7.2069}
216,{'0x9'},{7.2359}
217,{'0x7000000000'},{7.2844}
218,{'0x7000000'},{7.3166}
219,{'0xb000000000'},{7.3219}
220,{'0x9000000000'},{7.42}
221,{'0xd000000'},{7.4562}
222,{'0xd000000000'},{7.5175}
