,Difference,Weighted score
0,{'0xdc1103fd'},{10.195}
1,{'0xfabb62d8'},{10.3144}
2,{'0x46c5cbbe'},{10.3175}
3,{'0x7d346c0c'},{10.3175}
4,{'0x24ab53d4'},{10.3413}
5,{'0x337b7082'},{10.3525}
6,{'0xabb0b331'},{10.3625}
7,{'0x5719ca57'},{10.3788}
8,{'0x151ce722'},{10.405}
9,{'0xf7ebe404'},{10.4094}
10,{'0x13fbdc37'},{10.4131}
11,{'0x2ce6f5b7'},{10.42}
12,{'0xb6ed4484'},{10.4531}
13,{'0xb226c275'},{10.455}
14,{'0xcec28608'},{10.46}
15,{'0xeb94c581'},{10.4813}
16,{'0x84bd6a2f'},{10.505}
17,{'0x7bb279da'},{10.5206}
18,{'0xd5deb68f'},{10.5238}
19,{'0x3dde580d'},{10.5356}
20,{'0x5c322739'},{10.5438}
21,{'0xc84100f3'},{10.5731}
22,{'0xaf76bbb4'},{10.5825}
23,{'0xeffa7211'},{10.6038}
24,{'0xd916e634'},{10.6069}
25,{'0x13fda192'},{10.6094}
26,{'0xcc09b2ac'},{10.6113}
27,{'0xd5b62670'},{10.6119}
28,{'0x1fad26a2'},{10.6138}
29,{'0xee9f6d48'},{10.62}
30,{'0x9a28f3a7'},{10.62}
31,{'0x8914447f'},{10.6219}
32,{'0x2d7502e6'},{10.6231}
33,{'0x2aeaa7d'},{10.6262}
34,{'0xbb1c3691'},{10.6263}
35,{'0x62a70ccf'},{10.6356}
36,{'0xcb968eb3'},{10.6381}
37,{'0x676287a1'},{10.6394}
38,{'0x375011d8'},{10.6463}
39,{'0x7be283c3'},{10.6625}
40,{'0x99ac60ef'},{10.6675}
41,{'0x4684f386'},{10.6769}
42,{'0xfd29d99d'},{10.6825}
43,{'0x125c22f4'},{10.69}
44,{'0xb6c3ecc6'},{10.7044}
45,{'0x2beef289'},{10.7075}
46,{'0xdfc174f4'},{10.7081}
47,{'0xf03cec06'},{10.715}
48,{'0x87dc55b2'},{10.7213}
49,{'0x3a6bbe9c'},{10.7219}
50,{'0xb1521191'},{10.7225}
51,{'0x520fc725'},{10.7419}
52,{'0x742554b0'},{10.745}
53,{'0x4026fb70'},{10.7475}
54,{'0xbbfb77d2'},{10.7525}
55,{'0xb3c52c72'},{10.7531}
56,{'0xfcfc4982'},{10.7588}
57,{'0x67458eca'},{10.7594}
58,{'0x10db7458'},{10.7613}
59,{'0x59cf066d'},{10.7656}
60,{'0x6eea'},{10.7663}
61,{'0x25fb404a'},{10.7675}
62,{'0x7ac6e78d'},{10.77}
63,{'0x91fc0118'},{10.7712}
64,{'0x637537d3'},{10.7738}
65,{'0xa153f61'},{10.7756}
66,{'0x421532b7'},{10.7756}
67,{'0xd47fc687'},{10.7775}
68,{'0x21ca45e3'},{10.78}
69,{'0x46ecffe3'},{10.7819}
70,{'0x3e65cca8'},{10.7919}
71,{'0x70cf69e6'},{10.7919}
72,{'0xa2101416'},{10.7944}
73,{'0x5ae648bf'},{10.7963}
74,{'0x8cea34eb'},{10.7975}
75,{'0x224be43a'},{10.8019}
76,{'0xdc78e0ed'},{10.805}
77,{'0xcd45e3e9'},{10.8062}
78,{'0x7057ebe5'},{10.8062}
79,{'0xd96e159d'},{10.8063}
80,{'0x331a5bdc'},{10.8075}
81,{'0x2a1dda2f'},{10.8119}
82,{'0x16075e62'},{10.8138}
83,{'0x6453f50d'},{10.8163}
84,{'0xd62a78de'},{10.8169}
85,{'0xeb1e9b9e'},{10.8194}
86,{'0xe8c9a7c7'},{10.8244}
87,{'0xe7fd7bd7'},{10.8313}
88,{'0xae7bb7be'},{10.8338}
89,{'0x284737d0'},{10.835}
90,{'0xc11fd536'},{10.8369}
91,{'0xba89271d'},{10.8394}
92,{'0xbb9283f9'},{10.845}
93,{'0x7d6841e3'},{10.8469}
94,{'0x6f4b753f'},{10.8475}
95,{'0xe07189c0'},{10.8494}
96,{'0x99daa657'},{10.8506}
97,{'0x6cde2b8e'},{10.8519}
98,{'0x6cf0cdbf'},{10.855}
99,{'0xe63b3224'},{10.8563}
100,{'0x541723d4'},{10.8569}
101,{'0x274c21b2'},{10.8606}
102,{'0x3a7500e4'},{10.8606}
103,{'0xa83d39c0'},{10.8644}
104,{'0x99e5e01c'},{10.8706}
105,{'0x381205ea'},{10.8769}
106,{'0xf28f48'},{10.8769}
107,{'0x254d803d'},{10.88}
108,{'0xc1a4d2b4'},{10.8831}
109,{'0xead8702e'},{10.8844}
110,{'0xa63bb264'},{10.8856}
111,{'0xa7799b1d'},{10.8869}
112,{'0x408bd15e'},{10.895}
113,{'0x4fb020b7'},{10.9}
114,{'0x4b6667ea'},{10.9038}
115,{'0xc2c83725'},{10.905}
116,{'0xde593e58'},{10.9081}
117,{'0xdfea2b9f'},{10.9162}
118,{'0x93555800'},{10.9175}
119,{'0xbd37d777'},{10.9175}
120,{'0xee9a16fb'},{10.9263}
121,{'0x3c7d785'},{10.9313}
122,{'0xcbda5575'},{10.9319}
123,{'0x2a4d2ed0'},{10.9344}
124,{'0xc72e5ea7'},{10.9369}
125,{'0xf52ea67b'},{10.9375}
126,{'0x446f13ae'},{10.9431}
127,{'0xe2dc74c5'},{10.9444}
128,{'0x52d0e82c'},{10.9481}
129,{'0xd96c05bd'},{10.9531}
130,{'0x13fab8fd'},{10.9556}
131,{'0xbec13304'},{10.9563}
132,{'0x6f4bb53f'},{10.9575}
133,{'0x7402ec79'},{10.9612}
134,{'0xb42ec8a7'},{10.9681}
135,{'0xba63c579'},{10.9694}
136,{'0x9c5ea789'},{10.97}
137,{'0x21c0485'},{10.9713}
138,{'0x656ed56e'},{10.9762}
139,{'0x4ff79560'},{10.9762}
140,{'0xa5bf2a17'},{10.9769}
141,{'0x516db72e'},{10.9769}
142,{'0xcf6fa147'},{10.9769}
143,{'0xb81455f1'},{10.9856}
144,{'0x31c3b3ae'},{10.9937}
145,{'0xda3e1903'},{10.9938}
146,{'0xca342e9c'},{11.0069}
147,{'0x7db02dc'},{11.0081}
148,{'0x411d91df'},{11.0081}
149,{'0x1dd49d'},{11.01}
150,{'0x718a9ae6'},{11.0119}
151,{'0xff24fc57'},{11.0119}
152,{'0x5aaceb1a'},{11.0162}
153,{'0xe18a9307'},{11.0281}
154,{'0x8cff16e3'},{11.0313}
155,{'0x850802a0'},{11.0506}
156,{'0xf6898cd9'},{11.0531}
157,{'0xd89bf6ea'},{11.0538}
158,{'0x8011b6f1'},{11.0544}
159,{'0x4e44bd53'},{11.0544}
160,{'0xe87ca337'},{11.055}
161,{'0xfce92287'},{11.0556}
162,{'0x164bbde4'},{11.0575}
163,{'0x1f4295c3'},{11.0581}
164,{'0xc05abfb9'},{11.0581}
