,Difference,Weighted score
0,{'0x50122816'},{0.71}
1,{'0x1053240f'},{0.7344}
2,{'0x1133ca06'},{0.7469}
3,{'0x10326816'},{0.7656}
4,{'0x8460e301'},{0.77}
5,{'0x14214381'},{0.7844}
6,{'0x1862e60c'},{0.7944}
7,{'0x10420096'},{0.7944}
8,{'0x9051b014'},{0.8325}
9,{'0x10012216'},{0.8419}
10,{'0x6023'},{0.8512}
11,{'0x10122016'},{0.8575}
12,{'0x1352a016'},{0.8619}
13,{'0x104023'},{0.875}
14,{'0x1040a016'},{0.9088}
15,{'0x111c203'},{0.9131}
16,{'0x10509016'},{0.9163}
17,{'0x11708003'},{0.9369}
18,{'0x10202002'},{0.9762}
19,{'0x1018210'},{0.9794}
20,{'0x8130a300'},{0.9875}
21,{'0x1160a002'},{1.0175}
22,{'0x81712102'},{1.0294}
23,{'0x9041a000'},{1.065}
24,{'0x80419002'},{1.0688}
25,{'0x8011a000'},{1.3162}
26,{'0x2008004'},{1.3719}
27,{'0x60e000'},{1.3806}
28,{'0x20e000'},{1.4669}
29,{'0x48000'},{1.4694}
30,{'0x30c000'},{1.4725}
31,{'0xa000'},{1.5038}
32,{'0x40a000'},{1.5312}
33,{'0x606000'},{1.5788}
34,{'0x2408004'},{1.585}
35,{'0x2400004'},{1.6112}
36,{'0x4408000'},{1.6225}
37,{'0x440000'},{1.6463}
38,{'0x5000002'},{1.6675}
39,{'0x448000'},{1.6744}
40,{'0x10100000'},{1.6775}
41,{'0x418200'},{1.7144}
42,{'0x6000004'},{1.7669}
43,{'0xc000'},{1.7912}
44,{'0x80018000'},{1.8331}
45,{'0x208000'},{1.8719}
46,{'0x402000'},{1.8819}
47,{'0x40c000'},{1.895}
48,{'0x20400000'},{1.895}
49,{'0x80010000'},{1.9}
50,{'0x602000'},{1.9006}
51,{'0x80410000'},{1.9062}
52,{'0x202000'},{1.9069}
53,{'0x14000008'},{1.915}
54,{'0x608000'},{1.9269}
55,{'0x20c000'},{1.9763}
56,{'0x300000'},{1.9844}
57,{'0x500000'},{1.9856}
58,{'0x30000000'},{2.0031}
59,{'0x404000'},{2.0269}
60,{'0x80008000'},{2.0394}
61,{'0x700000'},{2.0456}
62,{'0x60c000'},{2.0562}
63,{'0x2000'},{2.0588}
64,{'0x40000080'},{2.0694}
65,{'0x2000000'},{2.07}
66,{'0x302000'},{2.0738}
67,{'0x2000004'},{2.0981}
68,{'0x80000000'},{2.1}
69,{'0x4000'},{2.1144}
70,{'0x80400000'},{2.1225}
71,{'0x10000'},{2.1344}
72,{'0x4000000'},{2.1381}
73,{'0x20000000'},{2.1381}
74,{'0x40000'},{2.1631}
75,{'0x1000002'},{2.1694}
76,{'0x604000'},{2.1756}
77,{'0x702000'},{2.1944}
78,{'0x8000000'},{2.2}
79,{'0x502000'},{2.2175}
80,{'0x10000000'},{2.2269}
81,{'0x1000000'},{2.2381}
82,{'0x10200'},{2.2388}
83,{'0x40800'},{2.2769}
84,{'0x4000008'},{2.3081}
85,{'0x204000'},{2.3206}
86,{'0x100000'},{2.3262}
87,{'0x1408000'},{2.3269}
88,{'0x8000'},{2.3812}
89,{'0x200000'},{2.5406}
90,{'0x102000'},{2.5906}
91,{'0x600000'},{2.5981}
92,{'0x408000'},{2.9275}
93,{'0x400000'},{3.0888}
