,Difference,Weighted score
0,"({'0x23019290a01324d1'}, {'0x40058006614903a8360'})",{5.3219}
1,"({'0x31c238182123451'}, {'0x18220896210882886c0'})",{5.3406}
2,"({'0x9304a392004038e1'}, {'0x3c9a600866184b3b0786'})",{5.3844}
3,"({'0x4d0c4b4619901cea'}, {'0x7be4cec8c9522109637f'})",{5.4094}
4,"({'0xa0d230800504647'}, {'0x518a70010614c57a84a0'})",{5.4125}
5,"({'0x10200020043321b'}, {'0x1881000421c47228014'})",{5.4156}
6,"({'0xfef7a4f329c8f804'}, {'0x5ed7de9282f72f5f7684'})",{5.4312}
7,"({'0x5439b13bd7ac548e'}, {'0xc18e0e4c650a807f64f2'})",{5.45}
8,"({'0x5b5d98b7fd811f03'}, {'0xf60adbc781261ffaa10a'})",{5.4656}
9,"({'0x9194008310045e6d'}, {'0x21023180e610921104e4'})",{5.4688}
10,"({'0xa89182933057748f'}, {'0x4c9a40808506515ac230'})",{5.4688}
11,"({'0x4cc1e8cea85a65e0'}, {'0x3ccd52a856ee576ab846'})",{5.4719}
12,"({'0x4e80d83796ebe5b8'}, {'0x94a17fed8276346fbebd'})",{5.475}
13,"({'0x831fa00a92430202'}, {'0x1086881320256320050'})",{5.5094}
14,"({'0x57608dc220d1bcb5'}, {'0xc928fe1b2f75e0c2028c'})",{5.5188}
15,"({'0x839a8181925058ad'}, {'0x2d984080020c86510274'})",{5.5188}
16,"({'0x9100215a003141b'}, {'0xd022080000cc7328004'})",{5.525}
17,"({'0x4cefb3f3886ca1a1'}, {'0xe806317a39dd027882a0'})",{5.5375}
18,"({'0x51797c4b59ec0c94'}, {'0x7ad4c231584c92eceddb'})",{5.5406}
19,"({'0x8a8d838112115ab7'}, {'0x20123100401443338780'})",{5.5437}
20,"({'0x3293041990454eb4'}, {'0x808a6281e5580230c6a4'})",{5.5469}
21,"({'0x54107388c37f9bb1'}, {'0xbad75d039c0b338ee6b0'})",{5.55}
22,"({'0x5bedda61b2356442'}, {'0xadcaa5e707aaf5201032'})",{5.55}
23,"({'0x1102009122405aa5'}, {'0x50a10086010455a84c0'})",{5.55}
24,"({'0x1911821930113cdb'}, {'0x5022080600083588630'})",{5.55}
25,"({'0x4f98188923e0e496'}, {'0x4fc4cea930b74580d767'})",{5.5688}
26,"({'0x12000113220118ba'}, {'0x59827000621801380314'})",{5.5781}
27,"({'0x59e9784c8a828667'}, {'0x4065242f671eb022688a'})",{5.5813}
28,"({'0x10a0200800076cf'}, {'0x5006001011883008544'})",{5.5844}
29,"({'0x1189829212024486'}, {'0x111270016418c64a8054'})",{5.5969}
30,"({'0x1102000080101453'}, {'0x10040002000036003e0'})",{5.5969}
31,"({'0x2a9e260282141049'}, {'0x888262808154c6724110'})",{5.6}
32,"({'0x8b89020210577087'}, {'0x71981800c21805790200'})",{5.6062}
33,"({'0x8905a08912443ab3'}, {'0x5d9a4001800a56120340'})",{5.6062}
34,"({'0x4d7366b45cdc0a33'}, {'0xbe1b38932ca8836a033d'})",{5.6062}
35,"({'0x4c9991bae55a1b0d'}, {'0x3d0fae7a0043237bd034'})",{5.6219}
36,"({'0x1002000000400ce0'}, {'0x800010000855005b0'})",{5.625}
37,"({'0x59cd6b9e3ff7ea24'}, {'0x693fd6ba4168fa7a5eba'})",{5.6281}
38,"({'0x1030183005738a3'}, {'0x50a1000a61c55220710'})",{5.6344}
39,"({'0x51edd6c4bf91487d'}, {'0x76c82760f7b48d72fe0c'})",{5.6406}
40,"({'0x1912031aa0563a6b'}, {'0x1082080a60490308334'})",{5.6469}
41,"({'0x51be723e53016aa4'}, {'0xa30b5eeea06f4cd98e2c'})",{5.6531}
42,"({'0x11018282004428e8'}, {'0xd081000e618510207e0'})",{5.6531}
43,"({'0x58957612e1461358'}, {'0xdfdf5199dfa154dce31a'})",{5.6562}
44,"({'0x1095849190566efc'}, {'0xac0823804414575306a0'})",{5.6562}
45,"({'0x93030290a2562018'}, {'0x5d886000c406d41a0404'})",{5.6562}
46,"({'0x2a13029180031011'}, {'0x50812518430ac660'})",{5.6562}
47,"({'0x4c5ff125c7d8dae0'}, {'0xb3c46f5abf51e8a231b8'})",{5.6719}
48,"({'0x56d6198268e0141a'}, {'0x529ccfa2d41cb1e1567'})",{5.675}
49,"({'0x839a808392130c60'}, {'0x2d1010804010c21381e0'})",{5.6781}
50,"({'0x100512008054165b'}, {'0xc0801009600974805f4'})",{5.6812}
51,"({'0x18110299b00102c8'}, {'0x40230800018c5128424'})",{5.6844}
52,"({'0xb83232092595ac7'}, {'0x58861290018c2020774'})",{5.6875}
53,"({'0xff29d7329cee2732'}, {'0xf3146658f819322e248e'})",{5.6906}
54,"({'0x5839dde975ae75a4'}, {'0x8ae264dadc986afd4e94'})",{5.6938}
55,"({'0x1b198300021504da'}, {'0x1100080a604d1228364'})",{5.7}
56,"({'0x20b820202434456'}, {'0x1a20002000474a80f0'})",{5.7}
57,"({'0x55517607481083fe'}, {'0x94ede7bc796d64e78c3f'})",{5.7062}
58,"({'0x4aa66333a526551d'}, {'0xb23bc4a69d938c67d171'})",{5.7062}
59,"({'0x931ba69310076c16'}, {'0x85b22281841855128284'})",{5.7062}
60,"({'0x8191028190504836'}, {'0x2d0a3080601005590110'})",{5.7188}
61,"({'0x4e10bd9eae13de1f'}, {'0x7e7a3bfbbada2c58ac0f'})",{5.725}
62,"({'0x4e1ac3f052a79e9e'}, {'0x501e267a135a75f2a342'})",{5.725}
63,"({'0x20808290805114f9'}, {'0x830004110844084a0'})",{5.7281}
64,"({'0x1a10070182433eb9'}, {'0x86080200c801880c4'})",{5.7312}
65,"({'0x20082818011029a'}, {'0xc0050080400827004d0'})",{5.7312}
66,"({'0x108008200104e26'}, {'0x51070006414446a0310'})",{5.7438}
67,"({'0x10000001800262d6'}, {'0x8020000000404608020'})",{5.7469}
68,"({'0x30008280001162fe'}, {'0x30016110074881f0'})",{5.7469}
69,"({'0x55bba6fcda2c47c9'}, {'0xa5fb0ac16ac1d25a1988'})",{5.75}
70,"({'0x1310010182120ea0'}, {'0x510060802004c60a8550'})",{5.7625}
71,"({'0x10100000020032d1'}, {'0xc60a0570'})",{5.7906}
72,"({'0x55d790b1ae5aeb91'}, {'0x57e3ac291d35ade51234'})",{5.7906}
73,"({'0x1100008180006c4e'}, {'0x102100040140500c3e4'})",{5.7937}
74,"({'0x2008000001148e4'}, {'0x240000400444207e0'})",{5.7969}
75,"({'0x5a710b266685cfd0'}, {'0xfbd78c0e12df753293af'})",{5.7969}
76,"({'0x2832212901f08d8'}, {'0x4826109821c94680130'})",{5.8062}
