,Difference,Weighted score
0,{'0x54e2e22047de60f5'},{5.2438}
1,{'0x4fda972c5b066fe4'},{5.3406}
2,{'0x4f9d5aa8835fb31a'},{5.3594}
3,{'0x78cb2e8c8001dc61'},{5.3781}
4,{'0x436334b506001561'},{5.4219}
5,{'0x589cd9ade5512d34'},{5.4406}
6,{'0x4e63d20fee3b7431'},{5.4469}
7,{'0x45624c931e011100'},{5.4625}
8,{'0x28f3f6ae9205d8e7'},{5.4812}
9,{'0x3d8232f88e215cc3'},{5.4937}
10,{'0x55becd444426f585'},{5.5}
11,{'0x5cfc696cf8c9a1aa'},{5.5188}
12,{'0x42bf498959c64d'},{5.525}
13,{'0x116a1c0616450114'},{5.5281}
14,{'0x4ee902c10313155'},{5.5312}
15,{'0x5fc3dd9490357190'},{5.5344}
16,{'0x44115d9606314659'},{5.5406}
17,{'0x48d81ac504340471'},{5.5531}
18,{'0x59a683671637efed'},{5.5562}
19,{'0x50f0e4dd57f880a7'},{5.5562}
20,{'0x53f0d994267885f3'},{5.5656}
21,{'0x96ab71114044135'},{5.5688}
22,{'0x40057d608150045'},{5.5906}
23,{'0x53a2444df1da1168'},{5.5937}
24,{'0xe49f47218105451'},{5.6031}
25,{'0x6423ee0b1c005d33'},{5.6062}
26,{'0x51358b9c9301e479'},{5.6062}
27,{'0x5d23244da45777a4'},{5.6094}
28,{'0x570eb761b1827096'},{5.6094}
29,{'0x4691eeb71e245020'},{5.6094}
30,{'0x24c3e75c80754ca3'},{5.6156}
31,{'0x15f44a881e1c2533'},{5.6188}
32,{'0x50a26e2aa5df3b7d'},{5.625}
33,{'0x4173a7610e051104'},{5.6312}
34,{'0xeea61610e112554'},{5.6344}
35,{'0xfffba55deb80333d'},{5.6375}
36,{'0x60235477c1922d8b'},{5.6375}
37,{'0x589e2f3fc46ae947'},{5.6375}
38,{'0x5038d822120404c6'},{5.6375}
39,{'0x416387941e154318'},{5.6469}
40,{'0x572fe36743da8931'},{5.65}
41,{'0xb6440070e01010'},{5.6594}
42,{'0x171259584151184'},{5.6688}
43,{'0x10827e07b2146963'},{5.675}
44,{'0x40021ca02051040'},{5.675}
45,{'0x59fd1ebec9d57b76'},{5.6812}
46,{'0x5a7b3085beb299ef'},{5.6938}
47,{'0x4c184d130c200434'},{5.6969}
48,{'0x4a6aaec802150005'},{5.7}
49,{'0x52c975cc75658359'},{5.7125}
50,{'0x1179c63694150580'},{5.7156}
51,{'0x572da0218244541'},{5.7156}
52,{'0x5cb093e21a0411b5'},{5.7188}
53,{'0x4151340904241872'},{5.7219}
54,{'0xcc00e1898157534'},{5.725}
55,{'0x3423650c1e01cd52'},{5.7281}
56,{'0x80120506a0410'},{5.7312}
57,{'0x16b549104011105'},{5.75}
58,{'0x55e20867b331e081'},{5.7531}
59,{'0xc62bc5e06044365'},{5.7594}
60,{'0x597f3fc3b953e88e'},{5.7594}
61,{'0x10b0488a0c643209'},{5.7656}
62,{'0x1f499aa4127947fc'},{5.775}
63,{'0x4169c2918c110106'},{5.775}
64,{'0x16b3e7904010101'},{5.7781}
65,{'0x690b65481e100004'},{5.7781}
66,{'0x384b3ee2902139c6'},{5.7812}
67,{'0x5114f110c251444'},{5.7844}
68,{'0x5f5350119b381105'},{5.7875}
69,{'0x5c1b88157768710e'},{5.8}
70,{'0xffe87bbac6d2175d'},{5.8125}
71,{'0x909e1c882041060'},{5.8125}
72,{'0x416b07aa040d0d01'},{5.8125}
73,{'0x5f0d6e2fc86ae46e'},{5.8156}
74,{'0x400eb2502251140'},{5.8219}
75,{'0x16b238a04010100'},{5.8406}
76,{'0x517770ee6a66a9fb'},{5.8438}
77,{'0x46727ba40a2d0125'},{5.85}
78,{'0x417b3bfca7050105'},{5.85}
79,{'0x19130a109e74467e'},{5.8531}
80,{'0x7a10299118714035'},{5.8562}
81,{'0x822fa5d04010904'},{5.8656}
82,{'0x4a6ad47a04050501'},{5.8656}
83,{'0x1008e3a310021404'},{5.8688}
84,{'0x15bb90c09e0105c5'},{5.8875}
85,{'0x41095bcc14046501'},{5.8875}
86,{'0x56b03470c041140'},{5.8906}
87,{'0x173394e00010104'},{5.8969}
88,{'0x87a7b5a00210104'},{5.8969}
89,{'0xda94448882409c3'},{5.9031}
90,{'0x12be00b04010104'},{5.9094}
91,{'0xeb0f096005ab040'},{5.9156}
92,{'0x4140e7a1000c0c05'},{5.9156}
93,{'0x56ddf8ae0b9472c4'},{5.9156}
94,{'0x4d7953078a310572'},{5.9156}
95,{'0x456be98a0e155358'},{5.925}
96,{'0x252ab5c708043872'},{5.9281}
97,{'0x16b406504010106'},{5.9375}
98,{'0x858b60b04200802'},{5.9438}
99,{'0x50701dda82116081'},{5.9438}
100,{'0x1418c6140e211455'},{5.9438}
101,{'0x90920cd02041040'},{5.9469}
102,{'0x5002ee4d98351140'},{5.95}
103,{'0x5a8e308080f0ad6a'},{5.9625}
104,{'0x590b2d001e100404'},{5.9656}
105,{'0x447b81ce0c202044'},{5.9688}
106,{'0x288dc3f08156631'},{5.9688}
107,{'0x16b5c9104015105'},{5.9688}
108,{'0x28808050620410'},{5.975}
109,{'0x4cf870418c0001b1'},{5.9844}
110,{'0x17b680804010100'},{5.9906}
111,{'0x7a4c5600210104'},{6.0}
112,{'0x430802100000058'},{6.0094}
113,{'0x10c0c04e3b4daf2e'},{6.0188}
114,{'0x4d8955d408111035'},{6.0219}
115,{'0x4ee21b74881b794e'},{6.025}
116,{'0xeb0f092004ab040'},{6.025}
117,{'0x909e0cf02041060'},{6.0281}
118,{'0x100802008000008'},{6.0344}
119,{'0x57052102135fa52b'},{6.0406}
120,{'0x713c0300c000da9'},{6.0688}
121,{'0x400282f48a100000'},{6.075}
122,{'0x48621df804050501'},{6.0781}
123,{'0x45cb0d1a1c106544'},{6.0813}
124,{'0x79360300c000d20'},{6.0906}
125,{'0x40802000000208'},{6.1031}
126,{'0x16b028d04010100'},{6.1031}
127,{'0x440205689a100000'},{6.1219}
128,{'0x163ee0804010100'},{6.1281}
129,{'0x3000484900000400'},{6.1344}
130,{'0x8800050621490'},{6.1344}
131,{'0x4086e1e10001000'},{6.1406}
132,{'0xa04f14d0e201401'},{6.1406}
133,{'0x410000100802050'},{6.1438}
134,{'0x4000802080000001'},{6.15}
135,{'0x1611e1486110106'},{6.15}
136,{'0x400089b323000000'},{6.1625}
137,{'0x410802100000858'},{6.1812}
138,{'0x430012100000058'},{6.1906}
139,{'0xe00059485010804'},{6.2188}
140,{'0x1008002050620418'},{6.2281}
141,{'0x20802040000008'},{6.2969}
142,{'0x4000e2cd02000000'},{6.3312}
143,{'0x400a79c10000000'},{6.3344}
144,{'0x20010000000008'},{6.3562}
145,{'0x4e6ad91e0a000040'},{6.3594}
