bit_pos,input_diff_hex,biased_pcs,max_diff,silhouette_clusters,silhouette_true,elapsed_sec
11,0x0000000000000800,157,0.102612,0.264390,0.721098,1.339
15,0x0000000000008000,157,0.102199,0.277176,0.720980,1.487
39,0x0000008000000000,158,0.102372,0.269939,0.720737,1.362
7,0x0000000000000080,158,0.102339,0.268745,0.720438,1.312
41,0x0000020000000000,159,0.101161,0.270570,0.720266,1.178
19,0x0000000000080000,159,0.102168,0.276605,0.720210,1.183
36,0x0000001000000000,158,0.101553,0.274739,0.719705,1.620
51,0x0008000000000000,158,0.102290,0.270579,0.719627,1.221
63,0x8000000000000000,158,0.102402,0.268442,0.719485,1.181
16,0x0000000000010000,159,0.101626,0.268271,0.719427,1.294
60,0x1000000000000000,159,0.101793,0.266347,0.719405,1.223
24,0x0000000001000000,157,0.102264,0.268313,0.719270,1.229
44,0x0000100000000000,159,0.102142,0.273783,0.719072,1.505
43,0x0000080000000000,160,0.102549,0.269910,0.719015,1.325
35,0x0000000800000000,159,0.102347,0.272117,0.718892,1.417
32,0x0000000100000000,158,0.101329,0.275022,0.718859,1.299
27,0x0000000008000000,159,0.102189,0.265040,0.718766,1.244
40,0x0000010000000000,160,0.101726,0.267934,0.718729,1.132
45,0x0000200000000000,160,0.100807,0.275751,0.718427,1.441
29,0x0000000020000000,157,0.101320,0.272988,0.718402,1.328
49,0x0002000000000000,159,0.100410,0.272786,0.718392,1.384
31,0x0000000080000000,160,0.102292,0.264837,0.718371,1.341
4,0x0000000000000010,158,0.101456,0.268926,0.718361,1.382
28,0x0000000010000000,160,0.101900,0.273887,0.718313,1.264
47,0x0000800000000000,158,0.102277,0.271197,0.718266,1.371
3,0x0000000000000008,157,0.102621,0.273586,0.718112,1.379
61,0x2000000000000000,157,0.100281,0.269514,0.718063,1.118
30,0x0000000040000000,159,0.100556,0.273733,0.717913,1.434
0,0x0000000000000001,159,0.101858,0.272217,0.717783,1.704
25,0x0000000002000000,159,0.099684,0.274570,0.717631,1.189
13,0x0000000000002000,158,0.100426,0.270554,0.717631,1.280
55,0x0080000000000000,161,0.101370,0.273024,0.717436,1.126
20,0x0000000000100000,158,0.101959,0.273711,0.717384,1.213
37,0x0000002000000000,158,0.100678,0.275214,0.717351,1.362
59,0x0800000000000000,158,0.101990,0.272480,0.717337,1.207
12,0x0000000000001000,158,0.101912,0.274333,0.717287,1.535
56,0x0100000000000000,158,0.101545,0.267813,0.717097,1.254
6,0x0000000000000040,157,0.100666,0.274919,0.717046,1.648
52,0x0010000000000000,159,0.101080,0.273817,0.716928,1.117
33,0x0000000200000000,159,0.100064,0.270646,0.716889,1.333
10,0x0000000000000400,158,0.100059,0.268180,0.716572,1.368
58,0x0400000000000000,160,0.100622,0.276989,0.716557,1.159
53,0x0020000000000000,157,0.099771,0.269839,0.716523,1.199
8,0x0000000000000100,157,0.100817,0.276943,0.716507,1.398
42,0x0000040000000000,159,0.099985,0.272498,0.716355,1.259
38,0x0000004000000000,159,0.099980,0.274094,0.716334,1.241
23,0x0000000000800000,159,0.102090,0.266394,0.716278,1.297
54,0x0040000000000000,157,0.100391,0.268516,0.716249,1.124
48,0x0001000000000000,159,0.102128,0.272344,0.716235,1.574
50,0x0004000000000000,159,0.100684,0.269828,0.716229,1.454
57,0x0200000000000000,158,0.100353,0.272497,0.716211,1.124
5,0x0000000000000020,160,0.100739,0.270342,0.715970,1.446
18,0x0000000000040000,159,0.100226,0.266813,0.715846,1.278
34,0x0000000400000000,159,0.099668,0.271888,0.715828,1.542
9,0x0000000000000200,159,0.100757,0.272308,0.715576,1.404
22,0x0000000000400000,158,0.100596,0.263371,0.715560,1.264
1,0x0000000000000002,159,0.100515,0.275096,0.715522,1.424
46,0x0000400000000000,159,0.099829,0.269599,0.715501,1.471
14,0x0000000000004000,157,0.099514,0.274781,0.715497,1.607
62,0x4000000000000000,159,0.100048,0.270789,0.714964,1.586
2,0x0000000000000004,159,0.100590,0.271578,0.714668,1.486
26,0x0000000004000000,159,0.100863,0.276166,0.714569,1.420
21,0x0000000000200000,158,0.099867,0.271579,0.713873,1.464
17,0x0000000000020000,158,0.100192,0.271698,0.711812,1.532
