bit_pos,input_diff_hex,biased_pcs,max_diff,silhouette_clusters,silhouette_true,elapsed_sec
62,0x4000000000000000,160,0.081317,0.297027,0.654380,1.235
14,0x0000000000004000,162,0.080864,0.295916,0.654167,1.146
29,0x0000000020000000,161,0.082120,0.291361,0.651092,1.216
45,0x0000200000000000,162,0.081267,0.289558,0.655199,1.201
46,0x0000400000000000,161,0.081733,0.289453,0.654138,1.399
13,0x0000000000002000,163,0.081087,0.288631,0.653538,1.164
61,0x2000000000000000,162,0.081510,0.284407,0.653853,1.237
30,0x0000000040000000,162,0.081887,0.283295,0.654938,1.314
50,0x0004000000000000,161,0.083009,0.280334,0.676893,1.174
17,0x0000000000020000,163,0.082820,0.280064,0.679873,1.398
1,0x0000000000000002,161,0.082255,0.279792,0.675891,1.330
60,0x1000000000000000,160,0.082900,0.279757,0.655535,1.240
33,0x0000000200000000,163,0.082965,0.278085,0.678527,1.460
2,0x0000000000000004,162,0.082533,0.277484,0.679583,1.123
12,0x0000000000001000,162,0.083449,0.276918,0.658831,1.234
0,0x0000000000000001,161,0.084096,0.276135,0.677281,1.470
49,0x0002000000000000,159,0.082444,0.275058,0.679412,1.141
18,0x0000000000040000,162,0.083345,0.273495,0.674637,1.454
5,0x0000000000000020,161,0.082744,0.273408,0.688025,1.142
32,0x0000000100000000,160,0.083416,0.272882,0.674975,1.507
47,0x0000800000000000,160,0.083569,0.272699,0.684256,1.149
28,0x0000000010000000,162,0.083147,0.272578,0.659144,1.425
15,0x0000000000008000,160,0.083771,0.272383,0.682914,1.234
34,0x0000000400000000,161,0.082381,0.271917,0.677006,1.401
44,0x0000100000000000,162,0.083161,0.271094,0.658986,1.150
48,0x0001000000000000,163,0.083454,0.270874,0.676869,1.168
20,0x0000000000100000,162,0.083502,0.270791,0.683712,1.324
36,0x0000001000000000,160,0.082829,0.270743,0.681786,1.496
19,0x0000000000080000,161,0.083130,0.270250,0.690322,1.257
25,0x0000000002000000,162,0.082533,0.269962,0.690034,1.161
42,0x0000040000000000,162,0.083111,0.269470,0.688821,1.196
6,0x0000000000000040,161,0.082614,0.269444,0.691229,1.165
31,0x0000000080000000,159,0.082649,0.269229,0.680449,1.335
38,0x0000004000000000,161,0.082654,0.269109,0.690644,1.342
54,0x0040000000000000,162,0.082980,0.268702,0.689209,1.487
10,0x0000000000000400,161,0.082850,0.268580,0.688340,1.161
51,0x0008000000000000,160,0.083204,0.268230,0.691686,1.131
40,0x0000010000000000,160,0.082978,0.267967,0.684570,1.307
52,0x0010000000000000,159,0.082913,0.267847,0.684436,1.283
4,0x0000000000000010,161,0.082784,0.267404,0.685427,1.181
56,0x0100000000000000,162,0.082523,0.267012,0.680691,1.314
63,0x8000000000000000,162,0.082919,0.266994,0.685925,1.228
24,0x0000000001000000,162,0.082084,0.266976,0.682138,1.300
3,0x0000000000000008,161,0.082957,0.266454,0.691420,1.186
39,0x0000008000000000,161,0.081213,0.266154,0.688582,1.478
21,0x0000000000200000,161,0.083150,0.266124,0.692404,1.470
9,0x0000000000000200,162,0.083117,0.266006,0.691379,1.241
22,0x0000000000400000,160,0.082518,0.265999,0.692612,1.541
23,0x0000000000800000,162,0.080729,0.265836,0.687913,1.338
26,0x0000000004000000,162,0.082981,0.265812,0.688271,1.334
8,0x0000000000000100,161,0.082698,0.265002,0.682471,1.225
7,0x0000000000000080,161,0.081222,0.264756,0.691437,1.222
55,0x0080000000000000,161,0.081350,0.264408,0.691699,1.319
53,0x0020000000000000,162,0.083667,0.264301,0.690431,1.307
59,0x0800000000000000,163,0.080965,0.264266,0.691738,1.605
37,0x0000002000000000,160,0.083172,0.263873,0.689912,1.705
16,0x0000000000010000,161,0.084558,0.263828,0.678454,1.609
57,0x0200000000000000,161,0.082974,0.263644,0.691525,1.378
58,0x0400000000000000,160,0.082629,0.262936,0.688299,1.152
11,0x0000000000000800,161,0.081741,0.262808,0.688624,1.165
41,0x0000020000000000,160,0.083363,0.262368,0.690240,1.231
35,0x0000000800000000,160,0.083267,0.261949,0.692890,1.450
27,0x0000000008000000,162,0.081378,0.258578,0.689083,1.351
43,0x0000080000000000,162,0.081348,0.258058,0.688849,1.213
