bit_pos,input_diff_hex,biased_pcs,max_diff,silhouette_clusters,silhouette_true,elapsed_sec
26,0x0000000004000000,160,0.038130,0.247650,0.536292,1.470
38,0x0000004000000000,159,0.037913,0.260280,0.536236,1.356
21,0x0000000000200000,160,0.037534,0.254041,0.532298,2.011
22,0x0000000000400000,160,0.037208,0.260613,0.531636,1.773
41,0x0000020000000000,161,0.037204,0.267913,0.531155,1.484
37,0x0000002000000000,160,0.037180,0.264934,0.530723,1.480
25,0x0000000002000000,160,0.037170,0.255378,0.533586,1.543
42,0x0000040000000000,160,0.037045,0.259581,0.531717,1.266
20,0x0000000000100000,162,0.035171,0.245759,0.504710,1.241
24,0x0000000001000000,161,0.035098,0.252964,0.503724,1.722
33,0x0000000200000000,161,0.034883,0.269090,0.500485,1.817
10,0x0000000000000400,161,0.034761,0.266458,0.498586,1.146
36,0x0000001000000000,160,0.034728,0.257949,0.505034,1.283
34,0x0000000400000000,161,0.034689,0.268093,0.498850,1.500
18,0x0000000000040000,160,0.034660,0.273665,0.498530,1.300
40,0x0000010000000000,162,0.034471,0.256641,0.501088,1.632
5,0x0000000000000020,160,0.034462,0.269610,0.495004,1.239
17,0x0000000000020000,161,0.034406,0.281270,0.495698,1.322
6,0x0000000000000040,162,0.034391,0.272986,0.494614,1.403
9,0x0000000000000200,160,0.034040,0.265249,0.497177,1.356
16,0x0000000000010000,159,0.033206,0.257002,0.474843,1.494
4,0x0000000000000010,162,0.032794,0.280096,0.469228,1.177
32,0x0000000100000000,161,0.032731,0.253667,0.475085,1.780
8,0x0000000000000100,160,0.032647,0.277078,0.468516,1.375
2,0x0000000000000004,163,0.032487,0.298688,0.466935,1.170
1,0x0000000000000002,163,0.031794,0.286702,0.460392,1.359
0,0x0000000000000001,164,0.031098,0.282208,0.445047,1.564
27,0x0000000008000000,164,0.027525,0.234422,0.457994,1.438
43,0x0000080000000000,162,0.027150,0.230892,0.458149,1.662
39,0x0000008000000000,163,0.026954,0.227450,0.455151,1.490
23,0x0000000000800000,163,0.026603,0.231336,0.451590,1.619
12,0x0000000000001000,167,0.026504,0.281103,0.398221,1.166
45,0x0000200000000000,165,0.026456,0.277334,0.415070,1.509
48,0x0001000000000000,169,0.026411,0.293251,0.369935,1.462
29,0x0000000020000000,165,0.026313,0.274826,0.412267,1.370
57,0x0200000000000000,167,0.026255,0.258649,0.413580,1.379
53,0x0020000000000000,165,0.026240,0.269894,0.412787,1.402
58,0x0400000000000000,164,0.026205,0.272441,0.414211,1.498
60,0x1000000000000000,170,0.026185,0.294790,0.339515,1.645
30,0x0000000040000000,165,0.026101,0.280772,0.412288,1.225
46,0x0000400000000000,164,0.026018,0.287024,0.412870,1.542
44,0x0000100000000000,164,0.025891,0.265334,0.409123,2.091
7,0x0000000000000080,165,0.025790,0.241276,0.419531,1.642
28,0x0000000010000000,165,0.025772,0.263438,0.404807,1.396
54,0x0040000000000000,166,0.025572,0.265045,0.411019,1.535
52,0x0010000000000000,165,0.025475,0.275114,0.376675,1.378
3,0x0000000000000008,167,0.025437,0.281298,0.403378,1.208
11,0x0000000000000800,164,0.025321,0.237688,0.418839,1.182
19,0x0000000000080000,165,0.025311,0.248387,0.422124,1.354
35,0x0000000800000000,164,0.025302,0.256975,0.423658,1.430
50,0x0004000000000000,168,0.025297,0.289456,0.386970,1.559
13,0x0000000000002000,165,0.025168,0.279521,0.386168,1.226
61,0x2000000000000000,171,0.025061,0.274938,0.311801,1.449
49,0x0002000000000000,167,0.024821,0.288271,0.386320,1.377
14,0x0000000000004000,167,0.024633,0.291604,0.381786,1.343
56,0x0100000000000000,166,0.024623,0.267755,0.374744,1.480
62,0x4000000000000000,171,0.024104,0.274306,0.310544,1.464
15,0x0000000000008000,168,0.020694,0.276373,0.326652,1.277
51,0x0008000000000000,173,0.020339,0.268788,0.304954,1.536
31,0x0000000080000000,167,0.019960,0.261787,0.319756,1.288
55,0x0080000000000000,172,0.019686,0.240708,0.307701,1.467
47,0x0000800000000000,168,0.019188,0.258238,0.319657,1.464
59,0x0800000000000000,173,0.019162,0.240183,0.306619,1.705
63,0x8000000000000000,174,0.018143,0.286802,0.232095,1.545
