bit_pos,input_diff_hex,biased_pcs,max_diff,silhouette_clusters,silhouette_true,elapsed_sec
38,0x0000004000000000,137,0.100243,0.267698,0.727549,18.516
58,0x0400000000000000,137,0.100579,0.268202,0.728470,18.706
1,0x0000000000000002,136,0.100126,0.262977,0.728289,14.241
5,0x0000000000000020,136,0.100245,0.263439,0.726763,14.769
7,0x0000000000000080,136,0.102251,0.263067,0.730898,14.141
9,0x0000000000000200,136,0.100464,0.264523,0.727626,13.854
21,0x0000000000200000,136,0.100098,0.268436,0.727992,14.245
46,0x0000400000000000,136,0.100145,0.268080,0.726530,15.013
50,0x0004000000000000,136,0.100072,0.269273,0.728116,16.723
54,0x0040000000000000,136,0.100166,0.266432,0.728096,16.071
62,0x4000000000000000,136,0.100165,0.268559,0.727649,15.832
10,0x0000000000000400,135,0.100152,0.264140,0.727527,15.276
11,0x0000000000000800,135,0.102351,0.262880,0.730263,14.179
13,0x0000000000002000,135,0.100347,0.267596,0.728557,15.033
14,0x0000000000004000,135,0.099856,0.266034,0.728661,15.246
15,0x0000000000008000,135,0.102298,0.263049,0.730375,15.384
19,0x0000000000080000,135,0.102130,0.262523,0.729939,14.309
22,0x0000000000400000,135,0.100441,0.268370,0.727887,16.198
23,0x0000000000800000,135,0.102548,0.267097,0.730685,16.488
24,0x0000000001000000,135,0.101764,0.267977,0.729868,14.158
25,0x0000000002000000,135,0.100203,0.265500,0.728562,14.061
26,0x0000000004000000,135,0.100452,0.267864,0.728749,14.249
28,0x0000000010000000,135,0.101686,0.267131,0.729402,16.094
30,0x0000000040000000,135,0.100150,0.262512,0.728401,15.012
31,0x0000000080000000,135,0.102119,0.265795,0.730813,16.314
32,0x0000000100000000,135,0.101455,0.266382,0.730001,17.438
39,0x0000008000000000,135,0.102253,0.265880,0.730620,14.356
43,0x0000080000000000,135,0.102118,0.263926,0.730618,17.226
47,0x0000800000000000,135,0.101803,0.259080,0.729926,26.256
53,0x0020000000000000,135,0.100149,0.263657,0.727087,18.611
61,0x2000000000000000,135,0.099864,0.266327,0.728050,22.209
63,0x8000000000000000,135,0.102293,0.263000,0.730110,15.175
0,0x0000000000000001,134,0.101401,0.266116,0.729945,19.738
2,0x0000000000000004,134,0.100228,0.267624,0.727475,14.119
8,0x0000000000000100,134,0.102012,0.265275,0.729544,14.911
17,0x0000000000020000,134,0.100465,0.263615,0.728576,15.502
18,0x0000000000040000,134,0.099951,0.262934,0.727384,14.940
27,0x0000000008000000,134,0.102178,0.262194,0.730457,13.659
29,0x0000000020000000,134,0.100573,0.264402,0.728686,14.320
33,0x0000000200000000,134,0.099974,0.265016,0.727725,18.074
34,0x0000000400000000,134,0.100088,0.268479,0.728014,17.429
35,0x0000000800000000,134,0.102092,0.267436,0.729338,16.887
40,0x0000010000000000,134,0.101529,0.265414,0.728241,16.748
41,0x0000020000000000,134,0.100272,0.263691,0.728115,14.503
42,0x0000040000000000,134,0.100482,0.267331,0.727971,19.921
45,0x0000200000000000,134,0.100043,0.267791,0.728547,17.209
48,0x0001000000000000,134,0.101510,0.263486,0.728950,24.541
49,0x0002000000000000,134,0.099891,0.264189,0.727768,19.143
51,0x0008000000000000,134,0.102333,0.265866,0.729522,18.366
55,0x0080000000000000,134,0.102169,0.267838,0.730680,15.243
57,0x0200000000000000,134,0.100006,0.264669,0.728651,17.329
59,0x0800000000000000,134,0.102256,0.267468,0.729430,19.552
60,0x1000000000000000,134,0.101296,0.262405,0.730071,16.791
3,0x0000000000000008,133,0.101932,0.263160,0.729514,13.800
4,0x0000000000000010,133,0.101480,0.270475,0.729426,14.890
6,0x0000000000000040,133,0.099934,0.263124,0.727244,15.376
12,0x0000000000001000,133,0.101495,0.261962,0.728787,13.823
16,0x0000000000010000,133,0.102142,0.266122,0.730594,15.755
36,0x0000001000000000,133,0.101461,0.267494,0.728801,16.474
37,0x0000002000000000,133,0.100090,0.268078,0.728501,15.034
44,0x0000100000000000,133,0.101555,0.266106,0.729393,16.922
52,0x0010000000000000,133,0.101872,0.268802,0.729296,20.564
56,0x0100000000000000,133,0.101929,0.269023,0.729887,17.043
20,0x0000000000100000,132,0.101947,0.270003,0.730439,16.381
