bit_pos,input_diff_hex,biased_pcs,max_diff,silhouette_clusters,silhouette_true,elapsed_sec
0,0x0000000000000001,192,-0.001947,0.210868,0.000119,102.961
1,0x0000000000000002,192,-0.001931,0.210937,0.000138,94.298
2,0x0000000000000004,192,-0.001920,0.213178,0.000464,96.921
3,0x0000000000000008,192,-0.001945,0.213312,0.000016,100.265
4,0x0000000000000010,192,-0.001937,0.214132,0.000021,94.766
5,0x0000000000000020,192,-0.001900,0.214530,0.000150,96.744
6,0x0000000000000040,192,-0.001930,0.210247,0.000098,92.661
7,0x0000000000000080,192,-0.001937,0.212457,0.000097,94.213
8,0x0000000000000100,192,-0.001908,0.211637,0.000030,85.184
9,0x0000000000000200,192,-0.001927,0.213755,0.000283,89.760
10,0x0000000000000400,192,-0.001935,0.210039,0.000109,96.399
11,0x0000000000000800,192,-0.001969,0.213369,0.000006,81.765
12,0x0000000000001000,192,-0.001931,0.210780,0.000052,91.176
13,0x0000000000002000,192,-0.001942,0.210851,0.000021,89.224
14,0x0000000000004000,192,-0.001932,0.212813,0.000003,87.271
15,0x0000000000008000,192,-0.001949,0.214386,-0.000010,103.060
16,0x0000000000010000,192,-0.001898,0.212331,0.000069,87.064
17,0x0000000000020000,192,-0.001933,0.210964,0.000055,97.896
18,0x0000000000040000,192,-0.001873,0.213661,0.000111,111.856
19,0x0000000000080000,192,-0.001947,0.211057,0.000039,110.136
20,0x0000000000100000,192,-0.001938,0.213070,0.000042,95.961
21,0x0000000000200000,192,-0.001878,0.212422,0.000086,104.014
22,0x0000000000400000,192,-0.001922,0.212051,0.000063,103.259
23,0x0000000000800000,192,-0.001958,0.211763,-0.000020,92.181
24,0x0000000001000000,192,-0.001941,0.212682,0.000051,102.505
25,0x0000000002000000,192,-0.001916,0.210018,0.000110,97.904
